Category,Vector
1,[0.  0.  0.  8.5 2. ]
1,[ 0.  0.  1. 14.  2.]
1,[0. 0. 1. 0. 4.]
1,[ 0.  0.  0. 17.  6.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 4. 1.]
1,[0. 0. 0. 0. 0.]
1,[0.  0.  0.  9.5 6. ]
1,[0. 0. 0. 5. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  0.  1. 21.  3.]
-1,[ 0.  3. 22.  7.  6.]
1,[ 0.  0.  0.  0. 13.]
1,[0. 0. 1. 5. 8.]
-1,[ 0.  2. 22. 20.  7.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 5.]
-1,[ 0.  2. 34.  5.  3.]
-1,[ 0.  1. 26.  5.  6.]
1,[0. 0. 0. 0. 3.]
-1,[ 0.  2. 22.  0.  2.]
1,[ 0.  0.  2. 10.  1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 2.]
1,[ 0.   0.   0.  22.5  7. ]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 0. 0. 4.]
1,[0. 0. 0. 6. 5.]
1,[0. 0. 0. 2. 1.]
1,[0. 1. 0. 0. 3.]
1,[0. 0. 0. 0. 1.]
-1,[0.         2.         8.         4.33333333 5.        ]
-1,[ 0.   0.  13.   7.5  7. ]
1,[0. 0. 0. 7. 3.]
1,[0. 1. 0. 0. 1.]
1,[0. 0. 0. 7. 1.]
-1,[ 0.   1.   5.  11.5  3. ]
1,[ 0.  0.  0.  5. 12.]
1,[0. 0. 0. 8. 1.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  0.  2. 20.  9.]
1,[0. 0. 0. 8. 2.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 1.]
-1,[ 0.  1. 14. 22.  5.]
1,[0. 1. 0. 0. 3.]
1,[0. 0. 0. 6. 3.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 2. 0. 1.]
1,[0. 0. 0. 0. 6.]
1,[0. 0. 1. 0. 4.]
1,[ 0.  0.  0. 38. 16.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 0. 5. 3.]
1,[0. 0. 0. 0. 8.]
-1,[ 0.  2. 11.  0.  2.]
-1,[ 0.  2. 20. 20.  3.]
1,[0. 0. 0. 7. 0.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 9. 3.]
-1,[ 1.          3.         13.          1.66666667 13.        ]
-1,[0.  0.  1.  3.8 6. ]
1,[0. 0. 0. 9. 1.]
-1,[ 0.  3. 18.  8.  5.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  0.  0. 10.  2.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 2. 2.]
1,[ 0.  2.  1.  0. 12.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 6.]
1,[0. 1. 0. 0. 6.]
1,[0. 1. 0. 0. 0.]
1,[0. 0. 0. 5. 1.]
1,[ 0.  2.  0.  0. 12.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 0. 8. 4.]
1,[ 0.  0.  1. 26.  3.]
1,[0. 0. 0. 4. 2.]
1,[ 0.  0.  0. 12.  2.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 0. 0. 6.]
1,[0. 0. 0. 0. 1.]
-1,[ 0.   2.  22.   7.5  2. ]
1,[0. 1. 0. 0. 1.]
1,[0. 0. 0. 8. 5.]
-1,[1. 0. 2. 0. 5.]
1,[ 0.   0.   0.  17.5  6. ]
1,[0. 0. 0. 0. 4.]
1,[ 0.  1.  0. 20.  2.]
1,[0. 0. 1. 0. 2.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 1. 0. 2.]
1,[ 0.  1.  0. 25.  5.]
1,[0. 0. 0. 6. 8.]
1,[0. 0. 0. 5. 5.]
1,[0. 2. 0. 0. 0.]
1,[ 0.   0.   0.   3.4 16. ]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 2. 5. 1.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 1. 5. 8.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0. 13.  4.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 4. 7.]
1,[0. 0. 0. 0. 6.]
1,[0. 1. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 8. 2.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 1. 6. 0.]
1,[ 0.  1.  0. 32.  4.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 5.]
1,[0. 1. 0. 3. 1.]
1,[ 0.  0.  0. 11.  6.]
-1,[ 1.  1. 31.  2. 11.]
1,[0. 1. 0. 0. 2.]
-1,[0.         2.         2.         7.66666667 6.        ]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0.  0. 12.]
1,[0. 1. 0. 0. 0.]
1,[0. 0. 0. 0. 7.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 5. 1.]
1,[0. 0. 0. 0. 4.]
-1,[0.  0.  7.  4.2 8. ]
1,[0. 0. 0. 8. 6.]
1,[0. 1. 0. 0. 0.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  0.  0.  6. 13.]
-1,[ 0.    1.   24.    5.25  3.  ]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 5.]
1,[0. 1. 1. 0. 5.]
1,[0. 0. 0. 6. 1.]
1,[0.  0.  0.  7.5 2. ]
1,[0. 2. 0. 7. 0.]
1,[0. 0. 1. 0. 1.]
1,[ 0.  0.  0. 27.  5.]
-1,[ 0.  2. 22.  6.  3.]
1,[0. 0. 1. 0. 0.]
1,[ 0.  0.  0.  0. 11.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 2. 0. 3.]
1,[0. 0. 0. 8. 1.]
1,[ 0.  1.  0. 18.  0.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 5. 4.]
-1,[ 0.          2.         14.          5.66666667  4.        ]
1,[0.  0.  0.  6.5 5. ]
1,[0. 0. 0. 0. 0.]
1,[0. 1. 0. 0. 3.]
1,[ 0.  0. 10.  0.  3.]
-1,[ 0.  1. 13. 20.  0.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
-1,[ 1.          5.         19.          4.66666667  7.        ]
1,[0. 0. 0. 6. 3.]
-1,[ 0.  1.  0. 19.  3.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 3.]
-1,[ 1.  2. 12.  3.  7.]
1,[0. 0. 1. 6. 1.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 6. 1.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0.  0. 12.]
1,[0. 0. 0. 5. 1.]
1,[0. 0. 0. 0. 3.]
1,[ 0.  0.  0. 12.  1.]
1,[0.  0.  0.  5.5 1. ]
1,[0. 0. 0. 0. 2.]
1,[0. 2. 1. 0. 1.]
1,[ 0.          1.          0.          7.66666667 14.        ]
1,[0. 0. 0. 0. 7.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0. 11.  2.]
1,[0. 0. 1. 0. 2.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 5. 2.]
-1,[ 0.          4.         13.          3.16666667  7.        ]
1,[0. 0. 0. 3. 0.]
1,[ 0.          0.          0.          2.44444444 11.        ]
1,[0. 1. 0. 9. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 7. 2.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 0.]
-1,[ 0.          0.          8.          3.66666667 15.        ]
1,[0. 0. 0. 8. 9.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 0. 0. 2.]
-1,[ 0.  0.  5. 16.  6.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 3. 2. 3.]
-1,[ 0.  2. 18.  3. 10.]
1,[0. 1. 0. 0. 0.]
1,[0.   0.   2.   6.75 6.  ]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 4. 4.]
1,[ 0.  0.  1.  0. 14.]
1,[0. 0. 0. 0. 3.]
-1,[ 0.  3. 13. 15.  4.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 6.]
1,[0. 0. 4. 0. 2.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 3.]
1,[ 0.  0.  0. 17.  2.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0. 18.  2.]
1,[0. 0. 0. 5. 5.]
1,[0. 0. 0. 0. 4.]
-1,[ 0.  2. 12.  0.  4.]
1,[ 0.  0.  0. 40.  3.]
-1,[ 0.  2. 23. 18.  7.]
1,[0. 0. 0. 7. 4.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 2.]
1,[0. 1. 0. 3. 1.]
1,[0. 1. 0. 6. 4.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  1.  4. 25.  4.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 7.]
1,[ 0.  0.  0. 16.  4.]
1,[0. 1. 0. 0. 1.]
-1,[1. 1. 8. 3. 8.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  0.  0. 10.  1.]
1,[ 0.  0.  0. 15.  0.]
1,[0.  0.  0.  3.5 6. ]
1,[ 0.  0.  0. 25.  1.]
1,[0.         0.         1.         0.33333333 7.        ]
1,[1.         0.         0.         7.33333333 7.        ]
-1,[ 0.  2. 22.  6.  3.]
-1,[ 0.  1. 28.  5.  9.]
1,[ 0.   0.   0.  14.5  7. ]
1,[ 0.  0.  0. 14.  5.]
1,[0. 0. 0. 5. 7.]
1,[0. 0. 0. 0. 2.]
1,[0. 1. 0. 0. 0.]
1,[ 0.  0.  0. 13.  5.]
1,[ 0.  0.  0. 25.  8.]
1,[0. 0. 0. 9. 2.]
-1,[ 0.  3. 18.  3. 11.]
-1,[ 1.  2. 17.  0.  6.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[0.   0.   0.   5.25 9.  ]
1,[0. 0. 0. 7. 2.]
1,[ 0.  0.  0. 11.  7.]
1,[ 0.  0.  0. 35.  1.]
-1,[ 0.  0. 14. 16.  3.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 0.]
1,[ 0.  0.  0. 22.  5.]
1,[ 0.  0.  0. 58.  8.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 3. 0. 4.]
-1,[ 0.  2. 16.  8.  4.]
1,[0. 0. 1. 0. 0.]
1,[0. 1. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
-1,[ 0.  4. 16. 14.  4.]
1,[0. 1. 0. 7. 3.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[ 0.   0.   0.  12.5  2. ]
1,[0. 0. 3. 0. 3.]
1,[0. 0. 0. 0. 3.]
1,[0. 1. 1. 0. 4.]
1,[0. 0. 0. 0. 5.]
1,[ 1.  0.  0. 24. 11.]
1,[ 0.  0.  0.  0. 11.]
-1,[ 0.    4.   28.    5.25  3.  ]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 6.]
1,[ 0.  0.  0. 12.  1.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 0.]
1,[ 1.  0.  0. 15.  9.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 0.]
1,[ 0.  0.  0. 18. 11.]
1,[0. 0. 0. 2. 1.]
-1,[ 0.  0. 19.  0.  1.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 0. 0. 0.]
-1,[ 1.   3.  10.   2.8  5. ]
1,[ 0.  0.  0. 13.  2.]
-1,[ 0.   1.  31.   2.6  3. ]
1,[0. 1. 0. 0. 3.]
-1,[ 0.  1. 19.  0.  2.]
1,[0. 0. 0. 0. 3.]
-1,[ 0.   2.  21.   5.5  4. ]
1,[ 0.  0.  9.  0. 30.]
1,[0. 0. 0. 4. 2.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 1. 0. 4.]
1,[ 0.  0.  0. 15. 17.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
-1,[ 0.  2. 33.  0.  2.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  1.  0. 11.  8.]
1,[ 0.  0.  0.  0. 17.]
1,[ 0.  0.  0. 11.  1.]
1,[0. 0. 0. 0. 0.]
1,[ 0.  2.  2. 14.  2.]
1,[0. 0. 0. 9. 2.]
1,[0. 0. 0. 0. 8.]
1,[0. 0. 0. 6. 4.]
1,[0. 0. 0. 7. 9.]
1,[0. 1. 0. 3. 1.]
1,[0. 0. 0. 0. 4.]
1,[0. 1. 0. 9. 4.]
1,[0. 0. 0. 0. 6.]
1,[ 0.  0.  0. 12.  3.]
1,[0. 0. 0. 6. 4.]
1,[0. 0. 2. 0. 3.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
1,[ 0.  0.  0. 11.  6.]
1,[0. 0. 0. 0. 2.]
-1,[ 0.  2. 19.  0.  7.]
1,[0. 0. 0. 8. 2.]
1,[0. 0. 0. 0. 3.]
1,[ 0.  0.  0. 27.  2.]
1,[0. 1. 3. 0. 6.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 2.]
-1,[ 0.   5.  13.   3.4  7. ]
1,[0. 1. 0. 5. 1.]
1,[0. 0. 0. 0. 0.]
1,[ 0.  0.  0. 11. 11.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 2. 8. 3.]
1,[0. 0. 0. 0. 2.]
-1,[ 0.   1.  24.   6.5  5. ]
1,[0. 0. 0. 0. 2.]
1,[ 1.  0.  1. 48. 18.]
-1,[ 0.   0.  13.   7.5  6. ]
1,[0.  0.  2.  9.5 9. ]
1,[ 0.  0.  0. 10.  0.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 1. 4. 2.]
1,[ 0.  0.  0. 14.  1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 9. 4.]
1,[0. 0. 0. 0. 0.]
1,[0. 1. 1. 0. 1.]
-1,[ 1.   3.  14.   3.5  4. ]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 2. 0. 4.]
1,[ 0.  0.  0. 11.  1.]
1,[ 0.  0.  0. 12.  1.]
-1,[ 0.          3.         24.          4.33333333 12.        ]
1,[0. 1. 0. 5. 1.]
1,[0. 0. 0. 0. 6.]
1,[0. 4. 0. 0. 2.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 6.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 1. 0. 2.]
1,[0. 0. 0. 0. 0.]
1,[0. 2. 1. 0. 4.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 6. 5.]
-1,[0. 0. 0. 0. 2.]
1,[0. 0. 1. 0. 3.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  1.  0. 14. 10.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  9.  0. 12.]
1,[0. 0. 1. 0. 1.]
1,[0. 0. 0. 0. 6.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 4.]
-1,[ 0.  1. 18. 11.  7.]
1,[0. 0. 0. 4. 3.]
-1,[ 0.  2. 10.  2.  7.]
-1,[1. 0. 0. 0. 5.]
1,[0. 1. 0. 0. 5.]
1,[ 0.  2.  0. 20.  2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 2.]
-1,[ 0.   1.  24.   4.5 10. ]
1,[0. 1. 1. 0. 2.]
-1,[ 0.  2. 24.  4.  9.]
1,[0. 0. 0. 0. 2.]
-1,[ 0.  0.  5. 11.  1.]
1,[0. 0. 0. 0. 1.]
-1,[ 0.    1.   40.    1.25  8.  ]
1,[0. 0. 0. 0. 7.]
1,[0. 0. 0. 0. 7.]
1,[0. 0. 0. 3. 3.]
1,[ 0.   0.   1.  16.5  5. ]
1,[ 0.   0.   0.  14.5  5. ]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 1.]
1,[0.  0.  0.  5.5 2. ]
1,[ 0.  1.  0. 11.  2.]
-1,[1. 2. 6. 8. 6.]
1,[ 0.   0.   0.  11.5 11. ]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 1. 0. 2.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  1.  0. 15.  2.]
1,[0. 1. 0. 0. 1.]
1,[0. 0. 0. 0. 7.]
1,[0.         0.         1.         5.66666667 3.        ]
1,[ 0.   0.   0.  24.5  9. ]
1,[0. 0. 0. 9. 2.]
1,[ 0.  0.  0. 20.  1.]
1,[0. 0. 0. 0. 3.]
1,[ 0.  0.  0. 30.  1.]
1,[0. 0. 0. 7. 2.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 7. 1.]
1,[0. 0. 0. 0. 4.]
1,[ 0.          0.          0.          9.33333333 19.        ]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 1. 0. 3.]
1,[0. 0. 0. 4. 3.]
-1,[ 0.  3. 22.  7.  6.]
1,[ 0.    0.    0.    5.75 15.  ]
1,[0. 2. 2. 0. 2.]
1,[0. 0. 0. 6. 2.]
1,[ 0.   0.   0.  13.5  7. ]
1,[ 0.  0.  0. 16.  3.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  1.  2. 23.  9.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 0. 0. 1.]
1,[0. 0. 1. 0. 3.]
-1,[ 0.  2. 19.  0.  6.]
1,[ 0.  1.  0. 23.  3.]
1,[0. 0. 2. 0. 2.]
-1,[ 0.  2. 15.  0.  2.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 0.]
-1,[ 0.  3. 17.  0.  0.]
1,[0. 0. 0. 0. 3.]
1,[ 0.  0.  0. 13.  3.]
1,[0. 0. 1. 0. 1.]
1,[ 0.  0.  0. 19. 11.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 0.]
1,[0. 1. 0. 8. 1.]
-1,[ 1.    3.   24.    4.25  9.  ]
-1,[ 0.          1.         19.          4.33333333  7.        ]
-1,[ 0.    1.   40.    1.25  9.  ]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0. 23.  9.]
1,[0. 0. 0. 4. 2.]
1,[0. 0. 0. 0. 0.]
-1,[ 0.  2. 11.  7.  2.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 9. 1.]
1,[ 0.  1.  0. 10.  8.]
1,[ 0.  0.  0. 13.  2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 6. 1.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 0.]
-1,[ 1.          1.         27.          0.07692308  8.        ]
1,[ 0.  0.  0. 17.  0.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 3.]
-1,[ 0.    2.   11.    5.25  2.  ]
1,[0. 0. 1. 0. 9.]
1,[0. 0. 0. 3. 0.]
1,[0. 0. 3. 0. 1.]
1,[ 0.  0.  0. 13.  3.]
1,[ 0.  0.  1. 23.  4.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 9. 6.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  1. 12.  1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 1. 0. 2.]
-1,[ 1.          2.         10.          4.66666667  2.        ]
-1,[ 0.  1. 21.  0.  2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0. 11.  1.]
1,[0. 0. 0. 0. 2.]
-1,[ 1.  4.  7. 10. 13.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 3.]
1,[0. 1. 0. 0. 4.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 9. 1.]
1,[0. 0. 0. 7. 1.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 3.]
1,[ 0.  0.  0. 23.  3.]
1,[0. 0. 0. 0. 8.]
1,[ 0.  0.  0. 14.  2.]
-1,[ 0.    1.   29.    1.25  9.  ]
1,[0. 0. 0. 6. 2.]
-1,[ 0.          2.         24.          2.33333333 11.        ]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 9. 5.]
1,[ 0.  0.  0. 12.  3.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 0.]
1,[ 0.          0.          0.         10.66666667  4.        ]
1,[0. 0. 0. 0. 0.]
1,[1. 1. 0. 0. 3.]
-1,[ 0.  1. 21.  0.  0.]
1,[ 0.  0.  1.  0. 10.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 6.]
1,[0. 0. 0. 0. 9.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 5. 6.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 2.]
-1,[ 0.    2.    9.    2.25 10.  ]
-1,[ 0.          3.         21.          2.83333333  3.        ]
1,[ 0.  1.  0. 27.  5.]
1,[0.  0.  0.  4.5 7. ]
1,[0. 0. 0. 7. 3.]
1,[0. 0. 0. 0. 4.]
1,[0. 1. 1. 6. 6.]
1,[0. 0. 0. 4. 0.]
1,[0.  1.  0.  9.5 4. ]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 2. 0. 1.]
1,[0. 0. 1. 0. 1.]
-1,[ 0.   1.  14.   4.2  7. ]
1,[ 0.  0.  1. 16.  2.]
1,[0. 0. 0. 0. 3.]
1,[0.         0.         1.         0.14285714 4.        ]
1,[1. 1. 0. 0. 6.]
1,[0. 0. 0. 0. 2.]
-1,[ 0.  1. 23. 11.  3.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0. 15.  0.  8.]
1,[0. 0. 0. 0. 3.]
